gene_symbol	inheritance	prevalence	allelic_het	genetic_het	penetrance	bs1_threshold	bs1_strength	bs1_exclude	ba1_threshold	af_basis	pm2_threshold	pm2_strength	pm2_basis	pm2_subpop	pm2_zygosity	pm2_subset	pm2_min_depth	pm4	pm4_supporting_max_aa	pp2	pp2_requires	pm5_grantham	pm5_excludes	pm5_max	pm5_lp	bs2	bs2_count	bs2_strength	bs2_female_only	bs2_hom_only	pvs1	ps1	ps1_splice	ps1_max	ps1_paralog_group	ps1_paralog_strength	bp1	bp1_target	bp1_exclude	bp1_strength	bp1_no_splice	bp3	bp3_regions	bp7_phylop	bp7_intronic	bp4_splice_cutoff	bp7_splice_cutoff	revel_pp3_supporting	revel_pp3_moderate	revel_pp3_strong	revel_bp4_supporting	revel_bp4_moderate	revel_bp4_strong	source_vcep	cspec_url	notes
ANO5	AR					0.001	Strong		0.003		0.0001			ci95				applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable				0.05	0.05	0.7			0.1			Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN188	GN188 Released; populated over empty placeholder
APC						0.00001	Strong		0.001		0.000003							not_applicable		not_applicable		ge		Moderate		not_applicable					applicable	applicable	canonical				applicable	missense	1021-1035			not_applicable												InSiGHT Hereditary Colorectal Cancer/Polyposis Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN089	GN089 Released
ATM	AD,AR					0.0005	Strong		0.005		0.00001							applicable		not_applicable				Supporting		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable						0.7333			0.249			Hereditary Breast, Ovarian and Pancreatic Cancer Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN020	GN020 Released
BMPR2	AD					0.001	Strong		0.01		0.0001							applicable		applicable	PM2,PP3			Moderate		applicable	1	Strong:3,Moderate:2,Supporting:1		1	applicable	applicable	noncanonical				not_applicable					applicable						0.644			0.29			Pulmonary Hypertension Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN125	GN125 Released
BRAF	AD					0.00025	Strong		0.0005		0							applicable		applicable			PM1	Strong	no	not_applicable					not_applicable	applicable					applicable	truncating				not_applicable			noncanonical			0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN049	GN049 Released; multiple specs (gene-specific kept)
BRCA1	AD					0.0001	Strong		0.001		0					non_cancer	25	not_applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				applicable	broad	2-101;1391-1424;1650-1857	Strong	yes	not_applicable		na										ENIGMA BRCA1 and BRCA2 Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN092	GN092 Released
BRCA2	AD					0.0001	Strong		0.001		0					non_cancer	25	not_applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				applicable	broad	10-40;2481-3186	Strong	yes	not_applicable		na										ENIGMA BRCA1 and BRCA2 Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN097	GN097 Released; populated over empty placeholder
CACNA1F	XL																																																					X-linked Inherited Retinal Disease Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN183	GN183 Classification Rules In Prep
CAPN3	AR					0.001	Strong		0.003		0.0001			ci95				applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable				0.05	0.05	0.7			0.1			Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN187	GN187 Released; populated over empty placeholder
CDH1						0.001	Strong		0.002		0.00001							applicable		not_applicable				Supporting		not_applicable					applicable	not_applicable					not_applicable					not_applicable												Gastric Cancer Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN007	GN007 Released
