gene	inheritance
DNAJC30	AR
DNAJC5	AD
DNAJC6	AR
DNAL1	AR
DNAL4	AR
DNALI1	AR
DNASE1L3	AR
DNASE2	AR
DNHD1	AR
DNM1	AD/AR
DNM1L	AD/AR
DNM2	AD/AR
DNMBP	AR
DNMT1	AD
DNMT3A	AD
DNMT3B	AR
DOCK11	XL
DOCK2	AR
DOCK3	AR
DOCK6	AR
DOCK7	AR
DOCK8	AR
DOHH	AR
DOK7	AR
DOLK	AR
DONSON	AR
DPAGT1	AR
DPF2	AD
DPH1	AR
DPH2	AR
DPH5	AR
DPM1	AR
DPM2	AR
DPM3	AR
DPP6	AD
DPP9	AR
DPY19L2	AR
DPYD	AR
DPYS	AR
DPYSL5	AD
DRAM2	AR
DRC1	AR
DRD2	AD
DRG1	AR
DSC2	AD/AR
DSC3	AR
DSE	AR
DSG1	AR
DSG2	AD
DSG3	AR
DSG4	AR
DSP	AD/AR
DSPP	AD
DST	AR
DSTYK	AD
DTNA	AD
DTNBP1	AR
DTYMK	AR
DUOX2	AD/AR
DUOXA2	AR
DUSP6	AD
DUT	AR
DVL1	AD
DVL3	AD
DYM	AR
DYNC1H1	AD
DYNC2H1	AR
DYNC2I1	AR
DYNC2I2	AR
DYNC2LI1	AR
DYNLT2B	AR
DYRK1A	AD
DYRK1B	AD
DYSF	AR
DZIP1	AD
DZIP1L	AR
EARS2	AR
EBF3	AD
EBP	XL
ECE1	AD
ECEL1	AR
ECHS1	AR
ECM1	AR
EDA	XL
EDAR	AD/AR
EDARADD	AD/AR
EDC3	AR
EDEM3	AR
EDN1	AD/AR
EDN3	AD/AR
EDNRA	AD
EDNRB	AD/AR
EED	AD
EEF1A2	AD
EEF2	AD
EFEMP1	AR
EFEMP2	AR
EFHC1	AD
EFL1	AR
EFNB1	XL
EFTUD2	AD
EGF	AR
EGFR	AR
EGLN1	AD
EGR2	AD/AR
EHHADH	AD
EHMT1	AD
EIF2AK1	AD
EIF2AK2	AD/AR
EIF2AK3	AR
EIF2AK4	AR
EIF2B1	AR
EIF2B2	AR
EIF2B3	AR
EIF2B4	AR
EIF2B5	AR
EIF2S3	XL
EIF3F	AR
EIF4A2	AD/AR
EIF4A3	AR
EIF4E	AD
EIF4G1	AD
EIF5A	AD
ELAC2	AR
ELANE	AD
ELF4	XL
ELMO2	AR
ELMOD3	AR
ELN	AD
ELOVL1	AD
ELOVL4	AD/AR
ELOVL5	AD
ELP1	AR
ELP2	AR
ELP4	AD
EMC1	AR
EMC10	AR
EMD	XL
EMG1	AR
EMILIN1	AR
EML1	AR
EMP2	AR
EMX2	AD
EN1	AR
ENAM	AD/AR
ENG	AD
ENO3	AR
ENPP1	AR
ENTPD1	AR
EOGT	AR
EP300	AD
EPAS1	AD
EPB41	AR
EPB41L1	AD
EPB42	AR
EPCAM	AD/AR
EPG5	AR
EPHA10	AD
EPHA2	AD
EPHB2	AR
EPHB4	AD
EPHX1	AR
EPM2A	AR
EPO	AD/AR
EPOR	AD
EPRS1	AR
EPS8	AR
EPS8L2	AR
EPS8L3	AD
EPX	AR
ERAL1	AR
ERBB2	AR
ERBB3	AD/AR
ERBB4	AD
ERCC1	AR
ERCC2	AR
ERCC3	AR
ERCC4	AR
ERCC5	AR
ERCC6	AD/AR
ERCC6L2	AR
ERCC8	AR
ERF	AD
ERG	AD
ERGIC1	AR
ERI1	AR
ERLIN1	AR
ERLIN2	AD/AR
ERMARD	AD
ESAM	AD/AR
ESCO2	AR
ESPN	AD/AR
ESR1	AR
ESR2	AR
ESRP1	AR
ESRRB	AR
ETFA	AR
ETFB	AR
ETFDH	AR
ETHE1	AR
ETV6	AD
EVC	AR
EVC2	AR
EXOC2	AR
EXOC3L2	AR
EXOC6B	AR
EXOSC1	AR
EXOSC2	AR
EXOSC3	AR
EXOSC5	AR
EXOSC8	AR
EXOSC9	AR
EXPH5	AR
EXT1	AD
EXT2	AD
EXTL3	AR
EYA1	AD
EYA4	AD
EYS	AR
EZH2	AD
F10	AR
F11	AD/AR
F12	AD/AR
F13A1	AR
F13B	AR
F2	AD/AR
F5	AD/AR
F7	AR
F8	XL
F9	XL
FA2H	AR
FAAHP1	AD
FADD	AR
FAH	AR
FAM111A	AD
FAM111B	AD
FAM126A	AR
FAM149B1	AR
FAM161A	AR
FAM20A	AR
FAM20C	AR
FAM50A	XL
FAM83H	AD
FAN1	AR
FANCA	AR
FANCB	XL
FANCC	AR
FANCD2	AR
FANCE	AR
FANCF	AR
FANCG	AR
FANCI	AR
FANCL	AR
FANCM	AR
FAR1	AD/AR
FARS2	AR
FARSA	AR
FARSB	AR
FAS	AD/AR
FASLG	AD
FASTKD2	AR
FAT2	AD
FAT4	AR
FBLN1	AD
FBLN5	AD/AR
FBN1	AD
FBN2	AD
FBP1	AR
FBP2	AD
FBXL3	AR
FBXL4	AR
FBXO11	AD
FBXO28	AD
FBXO31	AR
FBXO38	AD
FBXO43	AR
FBXO7	AR
FBXW11	AD
FCGR3A	AR
FCHO1	AR
FCMTE2	AD
FCN3	AR
FCSK	AR
FDFT1	AR
FDPS	AD
FDX2	AR
FDXR	AR
FECH	AD/AR
FERMT1	AR
FERMT3	AR
FEZF1	AR
FGA	AD/AR
FGB	AD/AR
FGD1	XL
FGD4	AR
