gene_symbol	inheritance	prevalence	allelic_het	genetic_het	penetrance	bs1_threshold	ba1_threshold	af_basis	pp2	pp2_requires	pm5_grantham	pm5_excludes	pm5_max	pm5_lp	bs2	ps1	ps1_splice	source_vcep	cspec_url	notes
SLC26A4						0.003	0.005		not_applicable					no	applicable	applicable	noncanonical	Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
SLC6A8	XL					0.0002	0.002	males	not_applicable						applicable	applicable	canonical	Cerebral Creatine Deficiency Syndromes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN027	GN027 Released
SLC9A6	XL					0.0000083	0.000083		not_applicable		ge			no	applicable	applicable		Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN033	GN033 Released; multiple specs (gene-specific kept)
SOS1	AD					0.00025	0.0005		not_applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN041	GN041 Released; multiple specs (gene-specific kept)
SOS2	AD					0.00025	0.0005		not_applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN042	GN042 Released; multiple specs (gene-specific kept)
TCF4	AD					0.0000083	0.000083		not_applicable		ge			no	applicable	applicable		Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN032	GN032 Released; multiple specs (gene-specific kept)
TECTA						0.003	0.005		not_applicable					no	applicable	applicable	noncanonical	Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
TNNI3	AD					0.0001	0.001		not_applicable			PM1			not_applicable	applicable		Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN098	GN098 Released
TNNT2	AD					0.0001	0.001		not_applicable			PM1			not_applicable	applicable		Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN099	GN099 Released
TP53	AD					0.0003	0.001		not_applicable						applicable	applicable		TP53 Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN009	GN009 Released
TPM1	AD					0.0001	0.001		applicable			PM1			not_applicable	applicable		Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN100	GN100 Released
UBE3A	AD					0.0000083	0.000083		not_applicable		ge			no	applicable	applicable		Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN037	GN037 Released; multiple specs (gene-specific kept)
USH2A						0.003	0.005		not_applicable					no	applicable	applicable	noncanonical	Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
VHL	AD					0.0000156	0.000156		not_applicable		ge			no	applicable	applicable		VHL Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN078	GN078 Released
VWF	AD					0.01	0.1		not_applicable						not_applicable	applicable		von Willebrand Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN081	GN081 Released; multiple specs
